Customer_ID,Quarter,Segment,Plan,Status,MRR_INR,Tenure_Months,Seats,Usage_Pct,CSAT,Industry,Churn_Reason,Onboarding_Type,Support_Tickets,Region
1,Q1,SMB,Starter,Active,3732,10,2,36,7.3,Logistics,Not Applicable,Self-serve,5,East
2,Q1,Mid-Market,Growth,Active,18337,22,47,41,8.9,Media,Not Applicable,Self-serve,3,West
3,Q1,SMB,Growth,Trial,17858,7,6,34,5.2,Ecommerce,Not Applicable,Assisted,4,East
4,Q1,Mid-Market,Growth,Churned,16357,26,9,40,4.3,Fintech,Missing features,Self-serve,12,South
5,Q1,Enterprise,Enterprise,Active,40788,11,179,46,7.0,Media,Not Applicable,Enterprise CSM,3,North
6,Q1,Mid-Market,Growth,Active,9552,35,24,72,8.4,Manufacturing,Not Applicable,Self-serve,3,South
7,Q1,SMB,Starter,Active,3812,26,7,43,6.7,Media,Not Applicable,Self-serve,4,East
8,Q1,Enterprise,Enterprise,Active,37658,6,97,61,9.0,Manufacturing,Not Applicable,Self-serve,0,South
9,Q1,Enterprise,Enterprise,Active,69985,8,171,46,7.5,Media,Not Applicable,Enterprise CSM,3,North
10,Q1,SMB,Starter,Active,2037,24,6,54,6.8,Manufacturing,Not Applicable,Self-serve,4,East
11,Q1,SMB,Starter,Active,3255,34,6,72,8.8,Media,Not Applicable,Self-serve,2,North
12,Q1,Mid-Market,Growth,Churned,19427,35,30,33,3.9,Manufacturing,Competitor,Self-serve,9,North
13,Q1,Enterprise,Starter,Active,3727,12,3,62,7.4,Manufacturing,Not Applicable,Self-serve,0,West
14,Q1,Enterprise,Enterprise,Active,75205,27,132,75,8.9,Logistics,Not Applicable,Enterprise CSM,4,North
15,Q1,SMB,Growth,Active,8289,34,31,49,7.7,SaaS,Not Applicable,Assisted,0,South
16,Q1,SMB,Starter,Active,2769,12,7,52,6.9,Ecommerce,Not Applicable,Self-serve,4,East
17,Q1,SMB,Growth,Churned,18586,21,17,30,4.8,Fintech,Missing features,Self-serve,7,North
18,Q1,Enterprise,Enterprise,Churned,71365,12,152,17,4.1,Ecommerce,No response,Unknown,6,East
19,Q1,Enterprise,Enterprise,Active,74047,8,22,56,8.1,Healthcare,Not Applicable,Enterprise CSM,1,North
20,Q1,Mid-Market,Enterprise,Active,63531,23,187,55,7.7,Fintech,Not Applicable,Enterprise CSM,6,North
21,Q1,Enterprise,Growth,Trial,10687,29,9,50,7.6,Manufacturing,Not Applicable,Assisted,3,East
22,Q1,Enterprise,Enterprise,Churned,67845,17,127,10,4.5,Fintech,Competitor,Enterprise CSM,5,North
